LogID,UserID,UserIP,Timestamp,DateTime,Event,ImageID,Type
15,1,127.0.0.1,1500370828,2017-07-18 11:40:28.201,page loaded,15,None
16,1,127.0.0.1,1500370837,2017-07-18 11:40:37.805,page loaded,16,None
17,1,127.0.0.1,1500370841,2017-07-18 11:40:41.142,started typing,16,None
18,1,127.0.0.1,1500370844,2017-07-18 11:40:44.500,submitted,16,scatter plot
19,1,127.0.0.1,1500370850,2017-07-18 11:40:50.148,page loaded,17,None
20,1,127.0.0.1,1500370851,2017-07-18 11:40:51.662,started typing,17,None
21,1,127.0.0.1,1500370854,2017-07-18 11:40:54.023,submitted,17,bar chart
22,1,127.0.0.1,1500370854,2017-07-18 11:40:54.891,page loaded,18,None
23,1,127.0.0.1,1500370855,2017-07-18 11:40:55.607,started typing,18,None
24,1,127.0.0.1,1500370858,2017-07-18 11:40:58.108,submitted,18,scatter plot
25,1,127.0.0.1,1500370858,2017-07-18 11:40:58.694,page loaded,19,None
26,1,127.0.0.1,1500370859,2017-07-18 11:40:59.444,started typing,19,None
27,1,127.0.0.1,1500370861,2017-07-18 11:41:01.083,submitted,19,line chart
28,1,127.0.0.1,1500370861,2017-07-18 11:41:01.689,page loaded,20,None
29,1,127.0.0.1,1500370862,2017-07-18 11:41:02.750,started typing,20,None
30,1,127.0.0.1,1500370864,2017-07-18 11:41:04.069,submitted,20,bar chart
31,1,127.0.0.1,1500370864,2017-07-18 11:41:04.668,page loaded,21,None
32,1,127.0.0.1,1500370865,2017-07-18 11:41:05.429,started typing,21,None
33,1,127.0.0.1,1500370866,2017-07-18 11:41:06.961,submitted,21,pie chart
34,1,127.0.0.1,1500370867,2017-07-18 11:41:07.531,page loaded,22,None
35,1,127.0.0.1,1500370868,2017-07-18 11:41:08.219,started typing,22,None
36,1,127.0.0.1,1500370870,2017-07-18 11:41:10.184,submitted,22,line chart
37,1,127.0.0.1,1500370870,2017-07-18 11:41:10.835,page loaded,23,None
38,1,127.0.0.1,1500370871,2017-07-18 11:41:11.685,started typing,23,None
39,1,127.0.0.1,1500370873,2017-07-18 11:41:13.102,submitted,23,bar chart
40,1,127.0.0.1,1500370874,2017-07-18 11:41:14.770,page loaded,24,None
41,1,127.0.0.1,1500370875,2017-07-18 11:41:15.477,started typing,24,None
